Model,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,Test_ROC_AUC
SVM,0.557936507936508,0.07771957983194595,0.6799999999999999
Gradient Boosting,0.37276785714285715,0.05482171940360267,0.29
Random Forest,0.4984126984126984,0.08449251064630639,0.21000000000000002
Logistic Regression,0.4608134920634921,0.14473191471432023,0.19
